"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs343496-<b>T</b>,"2 x 10-6",,'-,1.1351,'-,[1.08-1.19],"AL162384.1, GTF3AP1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,9:6068077
rs67766926-<b>?</b>,"7 x 10-9",(Shared),NR,'-,'-,'-,"REL, NONOP2","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,2:60936446
rs73510898-<b>?</b>,"8 x 10-8",(Shared),NR,'-,'-,'-,"ZGLP1, AC011511.1","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,19:10305768
rs9952991-<b>?</b>,"1 x 10-7",(Shared),NR,'-,'-,'-,"PTPN2, AP005482.2","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,18:12780465
rs1528473-<b>?</b>,"3 x 10-7",(Shared),NR,'-,'-,'-,"AC025272.1, AC011912.1","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,15:55094545
rs2059876-<b>?</b>,"4 x 10-7",(Shared),NR,'-,'-,'-,CHST8,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,19:33639430
rs45616239-<b>?</b>,"1 x 10-6",(Shared),NR,'-,'-,'-,KIAA1109,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,4:122335010
rs12001137-<b>?</b>,"2 x 10-6",(Shared),NR,'-,'-,'-,AL353595.1,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,9:11964872
rs2218565-<b>?</b>,"2 x 10-6",(Shared),NR,'-,'-,'-,PRR5L,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,11:36314713
rs7798970-<b>?</b>,"3 x 10-6",(Shared),NR,'-,'-,'-,STEAP2-AS1,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,7:90006910
rs1012621-<b>?</b>,"5 x 10-6",(Shared),NR,'-,'-,'-,"AL121899.2, TGM3","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,20:2325666
rs11189494-<b>?</b>,"7 x 10-6",(Shared),NR,'-,'-,'-,R3HCC1L,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,10:98153375
rs3736830-<b>?</b>,"9 x 10-6",(Shared),NR,'-,'-,'-,KPNA3,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,13:49732085
rs11205006-<b>A</b>,"2 x 10-25",,NR,1.615,'-,[1.543-1.691],"FLG-AS1, LCE5A","Atopic dermatitis","atopic eczema",GCST002737,1:152467700
rs1295686-<b>T</b>,"5 x 10-9",,NR,1.347,'-,[1.28-1.418],"IL13, TH2LCRR","Atopic dermatitis","atopic eczema",GCST002737,5:132660151
rs41268896-<b>A</b>,"4 x 10-8",,NR,1.298,'-,[1.238-1.361],"AL662884.2, TNXB","Atopic dermatitis","atopic eczema",GCST002737,6:32102292
rs148203517-<b>T</b>,"3 x 10-7",,NR,1.305,'-,[1.239-1.375],HLA-B,"Atopic dermatitis","atopic eczema",GCST002737,6:31356323
rs176095-<b>G</b>,"3 x 10-7",,NR,1.3020833,'-,[1.18-1.44],"PBX2, GPSM3","Atopic dermatitis","atopic eczema",GCST002737,6:32190542
rs17389644-<b>A</b>,"1 x 10-6",,NR,1.208,'-,[1.119–1.304],"IL21, IL2","Atopic dermatitis","atopic eczema",GCST002737,4:122576542
rs909341-<b>G</b>,"8 x 10-10",,NR,1.316,'-,[1.205-1.429],"RTEL1-TNFRSF6B, TNFRSF6B","Atopic dermatitis","atopic eczema",GCST002737,20:63697389
rs77199844-<b>?</b>,"2 x 10-17","(Atopic dermatitis)",NR,1.23,'-,[1.15–1.32],"LCE1E, LCE1F","Inflammatory skin disease","atopic eczema",GCST002740,1:152784619
rs2212434-<b>?</b>,"3 x 10-12","(Atopic dermatitis)",NR,1.29,'-,[1.21–1.39],"EMSY, AP001189.2","Inflammatory skin disease","atopic eczema",GCST002740,11:76570549
rs10888499-<b>?</b>,"5 x 10-25","(Atopic dermatitis)",NR,1.49,'-,[1.38–1.61],"LCE3E, CRCT1","Inflammatory skin disease","atopic eczema",GCST002740,1:152560266
rs12144049-<b>?</b>,"3 x 10-30","(Atopic dermatitis)",NR,1.54,'-,[1.37–1.73],"LCE5A, FLG-AS1","Inflammatory skin disease","atopic eczema",GCST002740,1:152468434
rs471144-<b>?</b>,"2 x 10-12","(Atopic dermatitis)",NR,1.54,'-,[1.37–1.73],"LCE5A, FLG-AS1","Inflammatory skin disease","atopic eczema",GCST002740,1:152481779
rs55879323-<b>?</b>,"3 x 10-12","(Atopic dermatitis)",NR,'-,'-,'-,"PUDPP2, FLG-AS1","Inflammatory skin disease","atopic eczema",GCST002740,1:152196264
rs13132933-<b>?</b>,"1 x 10-7","(Atopic dermatitis)",NR,'-,'-,'-,"RN7SL335P, KIAA1109","Inflammatory skin disease","atopic eczema",GCST002740,4:122089432
rs6686734-<b>?</b>,"1 x 10-6","(Atopic dermatitis)",NR,'-,'-,'-,MFN2,"Inflammatory skin disease","atopic eczema",GCST002740,1:12008884
rs8099996-<b>?</b>,"3 x 10-6","(Atopic dermatitis)",NR,'-,'-,'-,SMARCA4,"Inflammatory skin disease","atopic eczema",GCST002740,19:11063949
rs77490194-<b>?</b>,"3 x 10-6","(Atopic dermatitis)",NR,'-,'-,'-,GRM4,"Inflammatory skin disease","atopic eczema",GCST002740,6:34085916
rs1094732-<b>?</b>,"9 x 10-6","(Atopic dermatitis)",NR,'-,'-,'-,"FGF20, AC011586.2","Inflammatory skin disease","atopic eczema",GCST002740,8:16940614
rs17728338-<b>?</b>,"4 x 10-38",(Opposed),NR,'-,'-,'-,"ANXA6, TNIP1","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,5:151098757
rs62176107-<b>?</b>,"1 x 10-34",(Opposed),NR,'-,'-,'-,"PRKRA, CHROMR","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,2:178436244
rs12130219-<b>?</b>,"1 x 10-23",(Opposed),NR,'-,'-,'-,"FLG-AS1, PUDPP2","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,1:152189630
rs380743-<b>?</b>,"4 x 10-22",(Opposed),NR,'-,'-,'-,RASIP1,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,19:48737757
rs6596086-<b>?</b>,"2 x 10-18",(Opposed),NR,'-,'-,'-,"RAD50, AC116366.3","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,5:132616530
rs4363385-<b>?</b>,"2 x 10-15",(Opposed),NR,'-,'-,'-,"AL356867.2, AL356867.1","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,1:153016845
rs2533291-<b>?</b>,"3 x 10-10",(Opposed),NR,'-,'-,'-,PTPRN2,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,7:157712962
rs9405490-<b>?</b>,"4 x 10-10",(Opposed),NR,'-,'-,'-,"AL512329.1, RN7SL352P","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,6:1510423
rs1384974-<b>?</b>,"4 x 10-8",(Opposed),NR,'-,'-,'-,"MTND5P15, LINC01208","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,3:177009491
rs6548123-<b>?</b>,"6 x 10-8",(Opposed),NR,'-,'-,'-,MYT1L,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,2:2221629
rs9302874-<b>?</b>,"2 x 10-7",(Opposed),NR,'-,'-,'-,"LINC01993, AC087645.2","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,17:78284479
rs80312298-<b>?</b>,"6 x 10-7",(Opposed),NR,'-,'-,'-,MGMT,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,10:129683009
rs10802516-<b>?</b>,"6 x 10-6",(Opposed),NR,'-,'-,'-,OR2W5,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,1:247490110
rs72702813-<b>T</b>,"1 x 10-33",,0.04056,2.06,'-,[1.83–2.31],"LCEP4, LCE3A","Atopic dermatitis","atopic eczema",GCST010090,1:152628378
rs759382-<b>C</b>,"6 x 10-11",,0.2454,1.22,'-,[1.15–1.29],SLC9A4,"Atopic dermatitis","atopic eczema",GCST010090,2:102477754
rs848-<b>T</b>,"8 x 10-28",,0.2067,1.4,'-,[1.32–1.49],"TH2LCRR, IL13","Atopic dermatitis","atopic eczema",GCST010090,5:132660808
rs7110818-<b>A</b>,"3 x 10-16",,0.4392,1.28,'-,[1.21–1.36],"EMSY, AP001189.2","Atopic dermatitis","atopic eczema",GCST010090,11:76581531
rs909341-<b>G</b>,"8 x 10-17",,0.774,1.2987013,'-,'-,"RTEL1-TNFRSF6B, TNFRSF6B","Atopic dermatitis","atopic eczema",GCST010090,20:63697389
rs17389644-<b>A</b>,"1 x 10-8",,0.2396,1.19,'-,[1.12–1.26],"IL21, IL2","Atopic dermatitis","atopic eczema",GCST010090,4:122576542
rs12295535-<b>A</b>,"8 x 10-13",,0.02376,1.68,'-,[1.46–1.93],PRR5L,"Atopic dermatitis","atopic eczema",GCST010090,11:36410474
rs2041733-<b>A</b>,"3 x 10-15",,0.4528,1.23,'-,[1.17–1.29],CLEC16A,"Atopic dermatitis","atopic eczema",GCST010090,16:11135732
rs16948048-<b>G</b>,"3 x 10-9",,0.3848,1.17,'-,[1.11–1.23],AC091180.3,"Atopic dermatitis","atopic eczema",GCST010090,17:49363104
rs12520745-<b>?</b>,"6 x 10-7",(EA),0.17,2.13,'-,[1.3-5.56],LINC02240,"Allergic rhinitis in non-asthmatics","allergic rhinitis",GCST002551,5:125252697
rs2823053-<b>?</b>,"8 x 10-7",(EA),0.18,1.96,'-,[1.28-4.35],"AF127577.5, AF222684.1","Allergic rhinitis in non-asthmatics","allergic rhinitis",GCST002551,21:15092828
rs17152484-<b>?</b>,"4 x 10-7",(EA),0.16,2.17,'-,[1.32-6.67],LINC02240,"Allergic rhinitis in non-asthmatics","allergic rhinitis",GCST002551,5:125252465
rs2606618-<b>T</b>,"4 x 10-7",,0.17,1.6,'-,[1.33-1.92],"RNU1-18P, HMGB3P18","Allergic rhinitis in non-asthmatics","allergic rhinitis",GCST002551,6:122095195
rs7780001-<b>?</b>,"4 x 10-7",,0.13,1.64,'-,[1.25-2.44],AC007091.1,"Allergic rhinitis in non-asthmatics","allergic rhinitis",GCST002551,7:19438358
rs2823048-<b>?</b>,"8 x 10-7",(EA),0.19,1.92,'-,[1.28-3.85],"AF222684.1, AF127577.5","Allergic rhinitis in non-asthmatics","allergic rhinitis",GCST002551,21:15089947
rs2834629-<b>?</b>,"5 x 10-7",(AA),0.12,5.88,'-,[1.16-],LINC01426,"Allergic rhinitis in non-asthmatics","allergic rhinitis",GCST002551,21:34753521
rs868688-<b>?</b>,"7 x 10-7",(AA),NR,1.89,'-,[1.28-3.57],PRDM16,"Allergic rhinitis","allergic rhinitis",GCST002550,1:3384243
rs2149039-<b>?</b>,"7 x 10-7",(Latino),NR,1.56,'-,[1.22-2.17],BSND,"Allergic rhinitis","allergic rhinitis",GCST002550,1:55014701
rs11680788-<b>?</b>,"4 x 10-8",(Latino),NR,2.13,'-,[1.35-5.26],LINC00486,"Allergic rhinitis","allergic rhinitis",GCST002550,2:32834029
rs11680788-<b>?</b>,"8 x 10-7",,NR,1.72,'-,[1.39-2.13],LINC00486,"Allergic rhinitis","allergic rhinitis",GCST002550,2:32834029
rs6583203-<b>?</b>,"1 x 10-8",(Latino),NR,1.65,'-,[1.48-1.83],"AL121981.1, AC128709.2","Allergic rhinitis","allergic rhinitis",GCST002550,3:197352715
rs4713039-<b>?</b>,"6 x 10-7",(Latino),NR,1.57,'-,[1.39-1.75],"SYCP2L, AL024498.2","Allergic rhinitis","allergic rhinitis",GCST002550,6:10906023
rs6583337-<b>?</b>,"1 x 10-7",(AA),NR,2.17,'-,[1.33-5.56],"AC093627.1, AC215522.1","Allergic rhinitis","allergic rhinitis",GCST002550,7:40483
rs7780001-<b>?</b>,"2 x 10-8",,NR,1.37,'-,[1.19-1.61],AC007091.1,"Allergic rhinitis","allergic rhinitis",GCST002550,7:19438358
rs10156309-<b>?</b>,"3 x 10-7",(EA),NR,3.23,'-,[1.33-],NKAIN3,"Allergic rhinitis","allergic rhinitis",GCST002550,8:62520233
rs10124907-<b>?</b>,"6 x 10-7",(Latino),NR,1.43,'-,[1.19-1.75],"AL353730.1, TUSC1","Allergic rhinitis","allergic rhinitis",GCST002550,9:25659639
rs1332366-<b>?</b>,"1 x 10-6",(AA),NR,2,'-,[1.28-4.55],"AL158073.1, RNU6-1228P","Allergic rhinitis","allergic rhinitis",GCST002550,9:75217659
rs2472448-<b>?</b>,"8 x 10-7",(Latino),NR,1.82,'-,[1.27-3.13],ABCA1,"Allergic rhinitis","allergic rhinitis",GCST002550,9:104842226
rs17133587-<b>?</b>,"5 x 10-9",(Latino),NR,1.8,'-,[1.61-2.00],AC018978.1,"Allergic rhinitis","allergic rhinitis",GCST002550,10:4766883
rs17133587-<b>?</b>,"1 x 10-6",,NR,1.45,'-,[1.25-1.69],AC018978.1,"Allergic rhinitis","allergic rhinitis",GCST002550,10:4766883
rs11027293-<b>?</b>,"7 x 10-7",(Latino),NR,3.38,'-,[2.90-3.86],"LINC02726, AC068472.1","Allergic rhinitis","allergic rhinitis",GCST002550,11:23530907
rs11027293-<b>?</b>,"7 x 10-6",,NR,2.1,'-,[1.52-2.91],"LINC02726, AC068472.1","Allergic rhinitis","allergic rhinitis",GCST002550,11:23530907
rs1893361-<b>?</b>,"7 x 10-7",(Latino),NR,1.66,'-,[1.46-1.86],"RN7SKP297, CHRDL2","Allergic rhinitis","allergic rhinitis",GCST002550,11:74688380
rs2884670-<b>?</b>,"2 x 10-7",,NR,1.28,'-,[1.19-1.37],DYRK4,"Allergic rhinitis","allergic rhinitis",GCST002550,12:4566052
rs1352323-<b>?</b>,"7 x 10-7",(Latino),NR,1.47,'-,[1.32-1.63],ST8SIA2,"Allergic rhinitis","allergic rhinitis",GCST002550,15:92452411
rs1352323-<b>?</b>,"1 x 10-7",,NR,1.33,'-,[1.23-1.44],ST8SIA2,"Allergic rhinitis","allergic rhinitis",GCST002550,15:92452411
rs12597084-<b>?</b>,"5 x 10-7",(Latino),NR,1.43,'-,[1.19-1.82],RBFOX1,"Allergic rhinitis","allergic rhinitis",GCST002550,16:5769619
rs7187423-<b>?</b>,"6 x 10-7",(AA),NR,2.02,'-,[1.75-2.30],FTO,"Allergic rhinitis","allergic rhinitis",GCST002550,16:54056583
rs2061-<b>?</b>,"9 x 10-7",,NR,2.04,'-,[1.3-4.76],"PMP22, CDRT8","Allergic rhinitis","allergic rhinitis",GCST002550,17:15157487
rs7237244-<b>?</b>,"4 x 10-7",,NR,1.72,'-,[1.39-2.13],LAMA3,"Allergic rhinitis","allergic rhinitis",GCST002550,18:23850780
rs12973620-<b>?</b>,"5 x 10-8",(Latino),NR,1.56,'-,[1.40-1.72],AC003006.1,"Allergic rhinitis","allergic rhinitis",GCST002550,19:57738275
rs7287939-<b>?</b>,"4 x 10-7",(Latino),NR,2.19,'-,[1.89-2.50],"RBX1, AL080243.3","Allergic rhinitis","allergic rhinitis",GCST002550,22:41000349
rs10910095-<b>G</b>,"3 x 10-8",,0.84,1.042,'-,[1.03-1.06],"AL139246.2, AL139246.3","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:2579316
rs301806-<b>T</b>,"2 x 10-20",,0.54,1.048,'-,[1.04-1.06],RERE,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:8422018
rs760805-<b>T</b>,"6 x 10-13",,0.58,1.038,'-,[1.03-1.05],RUNX3,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:24925432
rs76167968-<b>T</b>,"1 x 10-8",,0.93,1.056,'-,[1.04-1.07],"AL590434.1, ZMYM4","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:35216137
rs7512552-<b>C</b>,"1 x 10-9",,0.52,1.031,'-,[1.02-1.04],"CIART, MRPS21","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:150293284
rs61816761-<b>A</b>,"7 x 10-21",,0.01,1.224,'-,[1.18-1.27],"FLG, FLG-AS1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:152313385
rs12123821-<b>T</b>,"7 x 10-17",,0.05,1.111,'-,[1.09-1.14],"FLG-AS1, AL589986.2","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:152206676
rs11204896-<b>C</b>,"2 x 10-12",,0.9,1.063,'-,[1.05-1.08],RORC,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:151824266
rs2228145-<b>C</b>,"4 x 10-13",,0.35,1.038,'-,[1.03-1.05],IL6R,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:154454494
rs2070901-<b>T</b>,"1 x 10-11",,0.26,1.039,'-,[1.03-1.05],FCER1G,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:161215268
rs2988277-<b>C</b>,"4 x 10-14",,0.66,1.04,'-,[1.03-1.05],CD247,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:167462115
rs4090390-<b>A</b>,"1 x 10-15",,0.22,1.048,'-,[1.04-1.06],"TNFSF4, AL022310.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:173177782
rs1102705-<b>G</b>,"3 x 10-10",,0.11,1.058,'-,[1.04-1.08],"SLC25A38P1, FASLG","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:172731728
rs697852-<b>A</b>,"2 x 10-9",,0.85,1.041,'-,[1.03-1.05],ITPKB,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,1:226727033
rs10174949-<b>G</b>,"7 x 10-31",,0.68,1.066,'-,[1.06-1.08],LINC00299,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:8302118
rs4671601-<b>C</b>,"9 x 10-9",,0.83,1.039,'-,[1.03-1.05],LINC02579,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:64609133
rs10865050-<b>G</b>,"7 x 10-61",,0.85,1.13,'-,[1.12-1.14],"IL18R1, IL1RL1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:102324851
rs4848612-<b>A</b>,"2 x 10-10",,0.76,1.038,'-,[1.03-1.05],"ANAPC1, AC017002.4, AC017002.3","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:111630961
rs13403656-<b>A</b>,"2 x 10-8",,0.16,1.045,'-,[1.03-1.06],"SOCAR, AC017002.3, AC017002.4, MIR4435-2HG","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:111511550
rs1143633-<b>C</b>,"2 x 10-10",,0.7,1.034,'-,[1.02-1.04],IL1B,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:112832890
rs74847330-<b>A</b>,"2 x 10-9",,0.88,1.048,'-,[1.03-1.06],"KYNU, ARHGAP15","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:143074030
rs1064213-<b>G</b>,"5 x 10-12",,0.47,1.035,'-,[1.03-1.04],PLCL1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:198085516
rs13384448-<b>T</b>,"3 x 10-12",,0.76,1.042,'-,[1.03-1.05],"TDGF1P2, CCL20","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:227843146
rs1057258-<b>C</b>,"1 x 10-10",,0.8,1.045,'-,[1.03-1.06],INPP5D,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:233206983
rs34290285-<b>G</b>,"4 x 10-33",,0.73,1.082,'-,[1.07-1.09],D2HGDH,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:241759225
rs6776757-<b>G</b>,"3 x 10-10",,0.47,1.033,'-,[1.02-1.04],GLB1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,3:33027599
rs61192126-<b>T</b>,"9 x 10-11",,0.69,1.037,'-,[1.03-1.05],"AC134508.1, RYBP","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,3:72345701
rs13088318-<b>A</b>,"9 x 10-9",,0.62,1.031,'-,[1.02-1.04],"FAM172BP, TRMT10C","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,3:101523907
rs75557865-<b>G</b>,"2 x 10-8",,0.57,1.029,'-,[1.02-1.04],SLC15A2,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,3:121933294
rs10663129-<b>ACT</b>,"1 x 10-13",,0.33,1.042,'-,[1.03-1.05],RASA2,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,3:141602995
rs60946162-<b>T</b>,"9 x 10-15",,0.42,1.041,'-,[1.03-1.05],LPP,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,3:188415548
rs17607589-<b>C</b>,"2 x 10-14",,0.84,1.053,'-,[1.04-1.07],LPP,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,3:188684798
rs519973-<b>A</b>,"5 x 10-10",,0.35,1.034,'-,[1.02-1.04],"AC108681.1, AC068295.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,3:187915480
rs2030030-<b>T</b>,"1 x 10-8",,0.86,1.041,'-,[1.03-1.05],"AC092941.1, AC022498.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,3:188076045
rs80064395-<b>C</b>,"2 x 10-12",,0.94,1.07,'-,[1.05-1.09],"PIGX, NRROS","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,3:196645675
rs10033073-<b>G</b>,"1 x 10-10",,0.35,1.04,'-,[1.03-1.05],STX18-AS1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,4:4773674
rs5743618-<b>C</b>,"3 x 10-58",,0.7,1.1,'-,[1.09-1.11],TLR1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,4:38797027
rs227275-<b>C</b>,"4 x 10-11",,0.56,1.034,'-,[1.02-1.04],MANBA,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,4:102672741
rs4145717-<b>T</b>,"9 x 10-27",,0.34,1.059,'-,[1.05-1.07],ADAD1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,4:122394921
rs150254607-<b>ATAT</b>,"5 x 10-14",,0.07,1.078,'-,[1.06-1.1],"IL21, IL2","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,4:122532956
rs16903574-<b>G</b>,"1 x 10-12",,0.08,1.071,'-,[1.05-1.09],OTULINL,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:14610200
rs7717955-<b>C</b>,"9 x 10-36",,0.71,1.073,'-,[1.06-1.08],IL7R,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:35862739
rs7714574-<b>T</b>,"6 x 10-10",,0.53,1.032,'-,[1.02-1.04],AC114977.1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:40492553
rs6594499-<b>C</b>,"5 x 10-46",,0.48,1.075,'-,[1.07-1.08],"WDR36, AC010468.2","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:111134439
rs6869502-<b>T</b>,"6 x 10-29",,0.18,1.079,'-,[1.07-1.09],"AC008782.1, SLC25A46","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:110830384
rs250308-<b>T</b>,"4 x 10-9",,0.37,1.031,'-,[1.02-1.04],TNFAIP8,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:119348602
rs3749833-<b>C</b>,"3 x 10-11",,0.3,1.039,'-,[1.03-1.05],"IRF1-AS1, AC116366.3","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:132463934
rs12551834-<b>G</b>,"3 x 10-9",,0.92,1.058,'-,[1.04-1.08],"KYAT1, AL441992.3","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,9:128850912
rs12413578-<b>C</b>,"1 x 10-27",,0.9,1.095,'-,[1.08-1.11],"AC044784.1, LINC00709","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,10:9007290
rs11255753-<b>T</b>,"2 x 10-12",,0.26,1.041,'-,[1.03-1.05],"CHCHD3P1, KRT8P37","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,10:8563590
rs2893907-<b>C</b>,"2 x 10-9",,0.58,1.031,'-,[1.02-1.04],"AC067752.1, AC024598.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,10:62622599
rs10883723-<b>C</b>,"2 x 10-8",,0.31,1.03,'-,[1.02-1.04],"ACTR1A, MFSD13A","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,10:102466075
rs740474-<b>C</b>,"6 x 10-11",,0.42,1.034,'-,[1.02-1.04],DIAPH1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:141545795
rs2910162-<b>G</b>,"3 x 10-9",,0.68,1.033,'-,[1.02-1.04],MIR3142HG,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:160482338
rs34004019-<b>A</b>,"4 x 10-52",,0.7,1.101,'-,[1.09-1.11],"HLA-DQA1, HLA-DQB1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:32658626
rs2854001-<b>A</b>,"1 x 10-19",,0.18,1.059,'-,[1.05-1.07],"MIR6891, HLA-B","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:31355235
rs9259819-<b>G</b>,"2 x 10-9",,0.5,1.036,'-,[1.02-1.05],"MCCD1P1, HCG4B","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:29925798
rs28895016-<b>C</b>,"9 x 10-16",,0.91,1.097,'-,[1.07-1.12],"NCR3, UQCRHP1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:31606748
rs2134814-<b>C</b>,"2 x 10-17",,0.65,1.046,'-,[1.04-1.06],BACH2,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:90277793
rs9372120-<b>G</b>,"4 x 10-11",,0.18,1.042,'-,[1.03-1.05],ATG5,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:106219660
rs5029937-<b>G</b>,"2 x 10-8",,0.97,1.081,'-,[1.05-1.11],TNFAIP3,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:137874014
rs9383820-<b>C</b>,"1 x 10-8",,0.76,1.037,'-,[1.02-1.05],ARID1B,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:157098374
rs6461503-<b>T</b>,"2 x 10-14",,0.53,1.039,'-,[1.03-1.05],"EEF1A1P27, ITGB8","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,7:20521373
rs10486391-<b>A</b>,"7 x 10-9",,0.53,1.03,'-,[1.02-1.04],ITGB8,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,7:20336395
rs17664743-<b>A</b>,"6 x 10-11",,0.2,1.042,'-,[1.03-1.05],AC020743.2,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,7:50214301
rs4296977-<b>C</b>,"2 x 10-13",,0.16,1.055,'-,[1.04-1.07],GSAP,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,7:77389225
rs6990534-<b>A</b>,"6 x 10-14",,0.36,1.042,'-,[1.03-1.05],PVT1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,8:127801845
rs144829310-<b>T</b>,"1 x 10-35",,0.16,1.09,'-,[1.08-1.1],"IL33, GTF3AP1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,9:6208030
rs16922576-<b>C</b>,"3 x 10-10",,0.32,1.036,'-,[1.03-1.05],JAK2,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,9:5064193
